Číslo inzerátu:,Internet:,Dispozice:,Plocha:,Cena:,Poplatky:,Vratná kauce:,Město:,Městská část:,Typ vlastnictví:,Typ budovy:,Vybavenost:,Podlaží:,Balkón:,Terasa:,Výtah:,Garáž:,Provedení:,Typ vytápění:,Podlaží v rámci domu:,Předzahrádka:,Rekonstrukce:,lat,long,K dispozici od:,PENB:,Stáří:,Novostavba:
193729,,1+kk,32.0,14500.0,2.000 Kč,20.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ne,Ne,standardní: běžné materiály a technologie,centrální,první až předposlední podlaží,,vše,50.0779105445,14.4245265357,15. 09. 2020,,1 - 10,
562586,,1+kk,46.0,18000.0,1.000 Kč,24.000 Kč,Praha,Nové Město,Osobní,Cihla,Nevybavený,,Ne,Ano,Ne,Ne,,,,,,50.0797175,14.4148565,,,,
587832,,2+kk,48.0,20000.0,2.000 Kč,25.000 Kč,Praha,Nové Město,Osobní,Cihla,Nevybavený,6,Ne,Ne,Ano,Ne,,,,,,50.077059,14.41669,19. 12. 2019,D,,
626196,,1+1,56.0,18000.0,2.000 Kč,18.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,5,Ne,Ne,Ano,Ne,,,,,,50.092769,14.431964,01. 10. 2020,G,,
626191,,2+1,72.0,19000.0,4.600 Kč,19.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ne,Ne,Ne,Ne,,,,,,50.090262,14.435482,01. 10. 2020,G,,
588250,,1+kk,49.0,14000.0,2.000 Kč,20.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ano,Ne,,plynový kotel,,,,50.091483,14.433237,07. 09. 2020,G,,
625114,,1+1,45.0,12500.0,2.000 Kč,14.500 Kč,Praha,Nové Město,Ostatní,Cihla,Částečně,7,Ano,Ano,Ano,Ne,standardní: běžné materiály a technologie,ústřední dálkové,poslední podlaží,,,50.071271,14.429688,14. 09. 2020,G,,
626063,,1+kk,26.0,10900.0,1.500 Kč,11.000 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ne,Ne,Ano,Ne,,,,,,50.070894,14.431564,14. 09. 2020,C,,
626060,,4+1,134.0,29000.0,2.000 Kč,58.000 Kč,Praha,Nové Město,Osobní,Cihla,,3,Ne,Ne,Ano,Ne,,,,,,50.077639,14.427434,14. 09. 2020,F,,
487732,,2+1,70.0,22000.0,3.000 Kč,35.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,5,Ano,Ne,Ano,Ne,,,,,,50.0907964,14.4344543,15. 10. 2020,B,,
625997,,2+1,96.0,24900.0,2.500 Kč,40.000 Kč,Praha,Nové Město,Osobní,Cihla,,1,Ano,Ne,Ne,Ne,,,,,,50.074231,14.416434,15. 09. 2020,A,,
625124,,4+kk,140.0,31000.0,3.000 Kč,60.000 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,4,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,vše,50.079655,14.415022,07. 09. 2020,C,,
625119,,2+kk,68.0,18000.0,2.000 Kč,36.000 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,4,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,vše,50.079655,14.415022,07. 09. 2020,C,,
623555,,3+kk,86.0,22000.0,2.500 Kč,44.000 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ne,Ne,Ano,Ne,,,,,,50.079655,14.415022,01. 09. 2020,C,,
625018,,2+kk,52.0,18000.0,997 Kč,25.000 Kč,Praha,Nové Město,Družstevní,Cihla,,2,Ne,Ne,Ano,Ne,,,,,,50.075057,14.414576,15. 09. 2020,G,,
624961,,3+kk,70.0,20000.0,2.500 Kč,10.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,1,Ne,Ne,Ne,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,vše,50.073138,14.431098,28. 09. 2020,C,10 - 30,
625765,,4+1,200.0,43000.0,1.500 Kč,,Praha,Nové Město,Osobní,Cihla,,6,Ne,Ano,Ano,Ne,,,,,,50.078295,14.414471,11. 09. 2020,G,,
625697,,3+kk,70.0,18900.0,2.000 Kč,15.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ano,Ne,Ano,Ne,standardní: běžné materiály a technologie,plynový kotel,poslední podlaží,,vše,50.089579,14.428571,01. 10. 2020,G,1 - 10,
625442,,2+1,100.0,22000.0,5.000 Kč,22.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,6,Ne,Ano,Ano,Ne,standardní: běžné materiály a technologie,plynový kotel,podkroví,,,50.0750423,14.4161471,10. 09. 2020,C,1 - 10,
620307,,2+1,84.0,20000.0,3.000 Kč,20.000 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ano,Ne,Ne,Ne,,,,,,50.079416,14.425468,01. 09. 2020,E,,
106410,,1+1,30.0,12500.0,3.500 Kč,,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ne,Ne,Ano,Ne,,,,,,50.0779640602,14.4264221191,01. 10. 2020,,,
607670,,3+1,145.0,33000.0,6.000 Kč,33.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,4,Ano,Ne,Ano,Ne,,,,,,50.079114,14.428088,11. 05. 2020,G,,
455013,,2+kk,50.0,17000.0,2.000 Kč,20.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,4,Ne,Ne,Ano,Ne,,,,,,50.079539542005,14.422504668824,14. 09. 2020,C,,
620637,,1+kk,40.0,12000.0,2.000 Kč,12.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ano,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,vše,50.086286,14.436511,14. 09. 2020,B,1 - 10,
625017,,2+1,67.0,18500.0,2.100 Kč,18.500 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ano,Ne,Ano,Ne,,,,,,50.07473,14.417692,09. 09. 2020,D,,
625128,,3+kk,100.0,24000.0,3.500 Kč,24.000 Kč,Praha,Nové Město,Osobní,Cihla,Nevybavený,3,Ne,Ne,Ano,Ne,,centrální,první až předposlední podlaží,,interiér,50.091699,14.431651,07. 09. 2020,G,,
624435,,2+1,46.0,18500.0,4.100 Kč,21.000 Kč,Praha,Nové Město,Osobní,Cihla,,4,Ne,Ne,Ne,Ne,,,,,,50.075078,14.42927,02. 09. 2020,G,,
329073,,4+1,180.0,120000.0,6.000 Kč,240.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,1,Ano,Ne,Ne,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,vše,50.0682662,14.4151719,,E,1 - 10,
558264,,3+kk,130.0,65000.0,3.500 Kč,130.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,4,Ano,Ne,Ne,Ne,,,,,,50.0682662,14.4151719,,,,
601258,,4+1,180.0,100000.0,5.000 Kč,200.000 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ano,Ne,Ano,Ne,,,,,,50.068321,14.415244,31. 03. 2020,E,,
414147,,1+kk,37.0,14000.0,2.000 Kč,28.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,1,Ne,Ne,Ne,Ne,,,,,,50.0910932,14.42984,,,,
567477,,2+kk,65.0,24000.0,2.500 Kč,30.000 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,2,Ano,Ne,Ne,Ne,,,,,,50.077344,14.415468,11. 07. 2019,,,
563650,,Ostatní,40.0,20000.0,1.500 Kč,22.000 Kč,Praha,Nové Město,Osobní,Cihla,Nevybavený,2,Ano,Ano,Ne,Ne,,,,,,50.077344,14.415468,15. 06. 2019,,,
587834,,2+1,87.0,27000.0,2.500 Kč,36.500 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,5,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,interiér,50.077059,14.41669,19. 12. 2019,D,,
567479,,4+kk,122.0,38000.0,,46.000 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,2,Ano,Ne,Ne,Ne,,,,,,50.0797175,14.4148565,,,,
624109,,2+1,55.0,15000.0,1 Kč,20.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ne,Ne,nadstandardní: nadstandardní použité materiály a technologie,centrální,první až předposlední podlaží,,exteriér,50.0904585,14.4321318,01. 09. 2020,C,1 - 10,
566667,,1+kk,20.0,13000.0,3.000 Kč,16.000 Kč,Praha,Nové Město,Družstevní,Cihla,Vybavený,1,Ne,Ne,Ano,Ne,,,,,,50.0693006,14.4163523,15. 10. 2020,B,,
624789,,2+kk,87.0,17850.0,5.150 Kč,23.000 Kč,Praha,Nové Město,Osobní,Cihla,,4,Ne,Ne,Ne,Ne,,,,,,50.07872,14.422734,04. 09. 2020,G,,
589099,,2+1,62.0,18000.0,3.000 Kč,18.000 Kč,Praha,Nové Město,Družstevní,Cihla,Nevybavený,1,Ne,Ne,Ano,Ne,,,,,,50.074862,14.424121,14. 09. 2020,G,,
624728,,3+1,96.0,20000.0,4.000 Kč,22.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ano,Ne,,plynový kotel,,,,50.0800904,14.425969,03. 09. 2020,A,,
616228,,2+kk,50.0,18500.0,2.000 Kč,30.000 Kč,Praha,Nové Město,Osobní,Cihla,,4,Ne,Ne,Ano,Ne,,,,,,50.074862,14.424121,04. 09. 2020,G,,
118415,,Garsoniéra,28.0,13500.0,1.500 Kč,13.500 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,2,Ano,Ne,Ne,Ne,,ústřední dálkové,,,,50.078502,14.414927,02. 09. 2020,,,
538303,,3+kk,108.0,34000.0,2.500 Kč,35.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ne,Ne,Ano,Ano,nadstandardní: nadstandardní použité materiály a technologie,centrální,první až předposlední podlaží,,vše,50.0792066,14.4271631,01. 04. 2020,G,1 - 10,
624465,,3+1,95.0,24900.0,2.900 Kč,49.800 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ne,Ne,Ne,Ne,,,,,,50.073647,14.416906,02. 09. 2020,A,,
612271,,1+1,40.0,12500.0,2.500 Kč,12.500 Kč,Praha,Nové Město,Osobní,Cihla,,,Ne,Ne,Ano,Ne,,,,,,50.0762842,14.4230511,Ihned,,,
597896,,2+kk,52.0,15000.0,5.000 Kč,25.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,4,Ne,Ne,Ano,Ne,,,první až předposlední podlaží,,vše,50.076259,14.428156,01. 07. 2020,B,,
619784,,3+kk,97.0,25000.0,5.000 Kč,50.000 Kč,Praha,Nové Město,Osobní,Cihla,,1,Ne,Ne,Ano,Ne,,,,,,50.070387,14.416541,01. 09. 2020,G,,
609758,,1+1,60.0,17000.0,500 Kč,34.000 Kč,Praha,Nové Město,Osobní,Cihla,,3,Ne,Ne,Ne,Ne,,,,,,50.0805807,14.4240211,01. 07. 2020,D,,
611356,,1+1,60.0,10000.0,2.000 Kč,12.000 Kč,Praha,Nové Město,Osobní,Cihla,,3,Ne,Ne,Ano,Ne,,,,,,50.085852,14.436164,01. 09. 2020,G,,
623310,,Garsoniéra,45.0,14000.0,1.000 Kč,10.000 Kč,Praha,Nové Město,Osobní,Cihla,,1,Ne,Ne,Ne,Ne,,,,,,50.077927,14.416034,31. 08. 2020,A,,
601637,,4+kk,130.0,24300.0,3.900 Kč,,Praha,Nové Město,Osobní,Cihla,Vybavený,4,Ano,Ne,Ano,Ne,standardní: běžné materiály a technologie,plynový kotel,poslední podlaží,,,50.089798,14.432333,01. 08. 2020,C,,
623824,,1+1,45.0,13000.0,3.000 Kč,15.000 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ne,Ne,Ano,Ne,,,,,,50.083534,14.430369,01. 09. 2020,C,,
621236,,2+kk,64.0,23000.0,4.000 Kč,23.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,poslední podlaží,,interiér,50.075704,14.428532,01. 09. 2020,F,více než 50,
565028,,2+kk,47.0,19000.0,4.000 Kč,,Praha,Nové Město,Osobní,Cihla,Vybavený,-1,Ne,Ne,Ne,Ne,,,,,,50.0687214,14.4148415,18. 06. 2019,,,
613901,,2+kk,60.0,16000.0,2.000 Kč,32.000 Kč,Praha,Nové Město,Osobní,Cihla,,,Ne,Ne,Ne,Ne,,,,,,50.070531,14.430608,15. 09. 2020,G,,
622973,,3+1,73.0,23000.0,2.000 Kč,46.000 Kč,Praha,Nové Město,Osobní,Cihla,,,Ne,Ne,Ne,Ne,,,,,,50.0776016,14.4166283,Ihned,,,
505888,,3+1,134.0,24900.0,6.617 Kč,,Praha,Nové Město,Osobní,Cihla,Částečně,6,Ne,Ne,Ne,Ne,,,,,,50.0779013,14.4276497,,,,
608389,,2+kk,42.0,16000.0,4.000 Kč,32.000 Kč,Praha,Nové Město,Osobní,Cihla,,5,Ano,Ne,Ano,Ne,,,,,,50.074393,14.429983,20. 05. 2020,D,,
609834,,3+kk,116.0,20000.0,4.500 Kč,40.000 Kč,Praha,Nové Město,Osobní,Cihla,,6,Ne,Ne,Ano,Ne,,,,,,50.074393,14.429983,31. 05. 2020,D,,
622433,,1+kk,30.0,15000.0,2.000 Kč,30.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ne,Ne,Ne,Ne,standardní: běžné materiály a technologie,elektrický kotel,první až předposlední podlaží,,interiér,50.077337,14.427518,01. 09. 2020,B,1 - 10,
324909,,2+kk,68.0,22000.0,4.800 Kč,30.000 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,4,Ano,Ne,Ne,Ne,,centrální,první až předposlední podlaží,,interiér,50.0788157,14.4244474,05. 08. 2020,,,
609115,,3+1,95.0,22500.0,5.000 Kč,22.500 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,3,Ne,Ne,Ano,Ne,,ústřední dálkové,první až předposlední podlaží,,vše,50.078875,14.423069,20. 08. 2020,G,více než 50,
604552,,2+kk,73.0,17500.0,2.000 Kč,20.000 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ne,Ano,Ano,Ne,,,,,,50.078714,14.42809,27. 04. 2020,G,,
600276,,2+kk,92.0,17500.0,1.900 Kč,17.500 Kč,Praha,Nové Město,Osobní,Ostatní,,5,Ne,Ano,Ne,Ne,,,,,,50.070894,14.431564,24. 03. 2020,A,,
609890,,1+kk,26.0,10000.0,2.400 Kč,20.000 Kč,Praha,Nové Město,Osobní,Cihla,,5,Ne,Ne,Ano,Ne,,,,,,50.079184,14.415364,01. 06. 2020,E,,
76256,,3+1,95.0,16000.0,5.000 Kč,16.000 Kč,Praha,Nové Město,Osobní,Cihla,Nevybavený,1,Ne,Ne,Ne,Ne,,plynový kotel,,,,50.0718653,14.430995,01. 07. 2020,,,
622036,,3+1,73.0,24000.0,2.000 Kč,20.000 Kč,Praha,Nové Město,Osobní,Cihla,,5,Ne,Ano,Ano,Ne,,,,,,50.069548,14.418241,01. 09. 2020,A,,
411338,,2+kk,44.0,15000.0,3.000 Kč,,Praha,Nové Město,Osobní,Cihla,Vybavený,1,Ne,Ne,Ne,Ne,,,,,,50.0747328,14.417529438623,01. 09. 2020,G,,
618481,,2+kk,67.0,22000.0,1.000 Kč,46.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,5,Ne,Ano,Ne,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,poslední podlaží,,vše,50.079423,14.428294,01. 09. 2020,G,1 - 10,
303357,,2+kk,62.0,15000.0,2.500 Kč,15.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ano,Ne,standardní: běžné materiály a technologie,ústřední dálkové,první až předposlední podlaží,,,50.0820777,14.4222747,24. 08. 2020,,,
615853,,3+1,87.0,24000.0,1.500 Kč,50.000 Kč,Praha,Nové Město,Osobní,Cihla,,4,Ano,Ne,Ano,Ne,,,,,,50.080511,14.414861,03. 07. 2020,G,,
587681,,2+1,51.0,12500.0,5.000 Kč,,Praha,Nové Město,Osobní,Cihla,Vybavený,5,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,podkroví,,,50.079564,14.428764,01. 08. 2020,E,30 - 50,
609748,,2+kk,35.0,17500.0,2.500 Kč,20.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,ústřední dálkové,,,,50.072906,14.4306,25. 05. 2020,D,1 - 10,
527739,,4+1,105.0,28000.0,3.000 Kč,50.000 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,5,Ano,Ne,Ne,Ne,,,,,,50.0922883,14.4324325,01. 10. 2018,D,,
621036,,2+kk,60.0,17000.0,600 Kč,25.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ne,Ne,standardní: běžné materiály a technologie,plynový kotel,první až předposlední podlaží,,vše,50.076736,14.427042,01. 09. 2020,D,1 - 10,
620709,,2+1,61.0,19000.0,4.000 Kč,23.000 Kč,Praha,Nové Město,Osobní,Cihla,,4,Ne,Ne,Ne,Ne,,,,,,50.085034,14.427799,07. 08. 2020,C,,
616200,,3+kk,95.0,27000.0,3.000 Kč,56.000 Kč,Praha,Nové Město,Osobní,Cihla,,4,Ne,Ne,Ano,Ne,,,,,,50.074862,14.424121,05. 08. 2020,G,,
609908,,2+1,64.0,18000.0,3.000 Kč,36.000 Kč,Praha,Nové Město,Osobní,Cihla,,3,Ne,Ne,Ne,Ne,,,,,,50.074318,14.425363,01. 06. 2020,C,,
616233,,1+kk,45.0,17000.0,1.500 Kč,30.000 Kč,Praha,Nové Město,Osobní,Cihla,,4,Ne,Ne,Ano,Ne,,,,,,50.074862,14.424121,05. 08. 2020,G,,
569863,,2+kk,38.0,19500.0,3.800 Kč,2 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,5,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,podkroví,,vše,50.0773161,14.4281593,15. 08. 2020,,,
300918,,2+1,75.0,25000.0,3.800 Kč,,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ano,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,vše,50.0772666,14.4282929,22. 08. 2020,,,
602199,,2+kk,57.0,15000.0,1.000 Kč,15.000 Kč,Praha,Nové Město,Osobní,Cihla,,,Ne,Ne,Ne,Ne,,,,,,50.077927,14.416034,07. 04. 2020,A,,
620236,,1+kk,30.0,18000.0,3.500 Kč,18.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,1,Ne,Ne,Ne,Ne,,,,,,50.078018,14.422748,04. 08. 2020,B,,
620070,,4+kk,110.0,35000.0,3.000 Kč,35.000 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ne,Ne,Ne,Ne,,,,,,50.074631,14.414755,04. 08. 2020,D,,
620069,,3+kk,60.0,27000.0,3.000 Kč,27.000 Kč,Praha,Nové Město,Osobní,Cihla,,1,Ne,Ne,Ano,Ne,,,,,,50.074631,14.414755,04. 08. 2020,D,,
619572,,3+kk,87.0,25000.0,3.000 Kč,40.000 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ano,Ne,Ano,Ne,,,,,,50.080511,14.414861,15. 08. 2020,F,,
600314,,2+kk,52.0,13900.0,4.000 Kč,30.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ano,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,interiér,50.077616,14.422776,07. 08. 2020,D,více než 50,
500408,,1+kk,67.0,16000.0,2.000 Kč,32.000 Kč,Praha,Nové Město,Ostatní,Cihla,Vybavený,2,Ne,Ne,Ne,Ne,,,,,,50.0918112,14.4330353,02. 07. 2020,,,
