Číslo inzerátu:,Internet:,Dispozice:,Plocha:,Cena:,Poplatky:,Vratná kauce:,Město:,Městská část:,Typ vlastnictví:,Typ budovy:,Vybavenost:,Podlaží:,Balkón:,Terasa:,Výtah:,Garáž:,Provedení:,Typ vytápění:,Podlaží v rámci domu:,Předzahrádka:,Rekonstrukce:,lat,long,K dispozici od:,PENB:,Stáří:,Novostavba:
601443,,2+kk,45.0,23000.0,2.700 Kč,25.700 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,4,Ne,Ano,Ano,Ano,nadstandardní: nadstandardní použité materiály a technologie,,,,,50.067274,14.423637,18. 06. 2020,B,1 - 10,Ano
622857,,2+kk,35.0,19500.0,6.500 Kč,,Praha,Nové Město,,,Vybavený,4,Ne,Ne,Ano,Ne,,,,,,50.073014,14.4308483,21. 09. 2020,,,
622659,,1+kk,20.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ne,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
624373,,1+kk,80.0,20400.0,6.800 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ne,Ne,,,,,,50.0918112,14.4330353,01. 11. 2020,,,
622799,,2+kk,80.0,51750.0,17.250 Kč,,Praha,Nové Město,,,Vybavený,6,Ne,Ne,Ano,Ne,,,,,,50.0802704,14.4260824,21. 09. 2020,,,
622785,,2+1,75.0,28688.0,9.562 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ne,Ne,,,,,,50.0809847,14.4249582,21. 09. 2020,,,
622662,,2+kk,30.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ano,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
626469,,3+kk,65.0,33750.0,11.250 Kč,,Praha,Nové Město,,,Vybavený,6,Ne,Ne,Ano,Ne,,,,,,50.0913707,14.4312801,01. 11. 2020,,,
626042,,2+kk,44.0,23000.0,5.000 Kč,23.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,1,Ne,Ne,Ano,Ne,standardní: běžné materiály a technologie,,první až předposlední podlaží,,vše,50.078065,14.42488,14. 09. 2020,C,1 - 10,
603003,,2+kk,82.0,27000.0,3.000 Kč,50.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ano,Ano,Ano,nadstandardní: nadstandardní použité materiály a technologie,ústřední dálkové,první až předposlední podlaží,,vše,50.090597,14.435207,15. 09. 2020,B,1 - 10,
625307,,2+1,87.0,20250.0,6.750 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ano,Ne,,,,,,50.0858551,14.436173,21. 09. 2020,,,
623874,,1+kk,31.0,14000.0,4.500 Kč,14.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,4,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,centrální,první až předposlední podlaží,,interiér,50.078812,14.415442,31. 08. 2020,G,1 - 10,
144028,,2+kk,22.0,7490.0,2.500 Kč,9.990 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ne,Ne,,ústřední dálkové,,,vše,50.079603,14.4221251,20. 09. 2020,,,
626298,,1+kk,34.0,14400.0,4.800 Kč,,Praha,Nové Město,,,Vybavený,5,Ano,Ne,Ano,Ano,,,,,,50.0667453,14.423656,21. 09. 2020,,,
619773,,2+1,46.0,15999.0,2.000 Kč,20.000 Kč,Praha,Nové Město,Osobní,Cihla,,2,Ne,Ne,Ne,Ne,,,,,,50.075249,14.426411,Ihned,G,,
626317,,1+1,56.0,16841.0,5.613 Kč,,Praha,Nové Město,,,Vybavený,5,Ne,Ne,Ano,Ne,,,,,,50.0927444,14.4319607,20. 10. 2020,,,
622717,,2+kk,54.0,18285.0,6.095 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ano,Ano,,,,,,50.0667453,14.423656,15. 10. 2020,,,
602552,,2+1,40.0,16000.0,3.000 Kč,19.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ano,Ne,Ne,Ne,standardní: běžné materiály a technologie,jiné,první až předposlední podlaží,,vše,50.0836,14.430418,10. 07. 2020,G,více než 50,
622777,,3+kk,65.0,26250.0,8.750 Kč,,Praha,Nové Město,,,Vybavený,5,Ano,Ne,Ano,Ne,,,,,,50.0706439,14.4164891,21. 09. 2020,,,
622749,,1+kk,45.0,15930.0,5.310 Kč,,Praha,Nové Město,,,Vybavený,4,Ano,Ne,Ano,Ano,,,,,,50.0667453,14.423656,21. 09. 2020,,,
622726,,2+kk,62.0,17813.0,5.937 Kč,,Praha,Nové Město,,,Vybavený,4,Ne,Ne,Ano,Ne,,,,,,50.080004,14.422058,01. 10. 2020,,,
622713,,1+kk,30.0,24750.0,8.250 Kč,,Praha,Nové Město,,,Vybavený,5,Ne,Ne,Ano,Ne,,,,,,50.0789145,14.4254272,21. 09. 2020,,,
622670,,1+kk,26.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,4,Ne,Ne,Ano,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
622838,,1+1,,33750.0,11.250 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ne,Ne,,,,,,50.0800377,14.4184609,21. 09. 2020,,,
622798,,2+kk,55.0,14250.0,4.750 Kč,,Praha,Nové Město,,,Vybavený,6,Ne,Ne,Ano,Ne,,,,,,50.072176,14.4317224,21. 09. 2020,,,
622772,,3+1,85.0,34200.0,11.400 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ne,Ne,,,,,,50.0782846,14.4173387,21. 09. 2020,,,
622693,,1+kk,32.0,16350.0,5.450 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ne,Ne,,,,,,50.0913707,14.4312801,21. 09. 2020,,,
622671,,1+kk,19.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ano,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
